acceleration,requiredtorque
0.1,3.392592618
0.15,4.225501017
0.2,5.058409416
0.25,5.891317815
0.3,6.724226214
0.35,7.557134613
0.4,8.390043012
0.45,9.222951411
0.5,10.05585981
0.55,10.88876821
0.6,11.72167661
0.65,12.55458501
0.7,13.38749341
0.75,14.2204018
0.8,15.0533102
0.85,15.8862186
0.9,16.719127
0.95,17.5520354
1,18.3849438
1.05,19.2178522
1.1,20.0507606
1.15,20.883669
1.2,21.71657739
1.25,22.54948579
1.3,23.38239419
1.35,24.21530259
1.4,25.04821099
1.45,25.88111939
1.5,26.71402779
1.55,27.54693619
1.6,28.37984459
1.65,29.21275299
1.7,30.04566138
1.75,30.87856978
1.8,31.71147818
1.85,32.54438658
1.9,33.37729498
1.95,34.21020338
2,35.04311178
2.05,35.87602018
2.1,36.70892858
2.15,37.54183697
2.2,38.37474537
2.25,39.20765377
2.3,40.04056217
2.35,40.87347057
2.4,41.70637897
2.45,42.53928737
2.5,43.37219577
2.55,44.20510417
2.6,45.03801257
2.65,45.87092096
2.7,46.70382936
2.75,47.53673776
2.8,48.36964616
2.85,49.20255456
2.9,50.03546296
2.95,50.86837136
3,51.70127976
3.05,52.53418816
3.1,53.36709655
3.15,54.20000495
3.2,55.03291335
3.25,55.86582175
3.3,56.69873015
3.35,57.53163855
3.4,58.36454695
3.45,59.19745535
3.5,60.03036375
3.55,60.86327215
3.6,61.69618054
3.65,62.52908894
3.7,63.36199734
3.75,64.19490574
3.8,65.02781414
3.85,65.86072254
3.9,66.69363094
3.95,67.52653934
4,68.35944774
